position,organoid_id,day,prob_full,prob_occluded,importance
2,BA2_96_1_H11_nosplit,8.0,0.8062,0.8124,0.0063
3,BA2_96_1_H11_nosplit,10.0,0.8062,0.8086,0.0024
4,BA2_96_1_H11_nosplit,13.0,0.8062,0.8122,0.006
5,BA2_96_1_H11_nosplit,15.0,0.8062,0.8135,0.0074
6,BA2_96_1_H11_nosplit,17.0,0.8062,0.8119,0.0057
7,BA2_96_1_H11_nosplit,20.5,0.8062,0.8069,0.0007
8,BA2_96_1_H11_nosplit,24.0,0.8062,0.791,0.0152
9,BA2_96_1_H11_nosplit,28.0,0.8062,0.7509,0.0552
10,BA2_96_1_H11_nosplit,30.0,0.8062,0.2681,0.5381
,BA2_96_1_H11_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.8062,0.7362,0.07
0,BA2_96_2_B10_nosplit,3.0,0.7894,0.7908,0.0014
1,BA2_96_2_B10_nosplit,6.0,0.7894,0.7962,0.0068
2,BA2_96_2_B10_nosplit,8.0,0.7894,0.7997,0.0102
3,BA2_96_2_B10_nosplit,10.0,0.7894,0.8083,0.0189
4,BA2_96_2_B10_nosplit,13.0,0.7894,0.8103,0.0209
5,BA2_96_2_B10_nosplit,15.0,0.7894,0.8051,0.0156
6,BA2_96_2_B10_nosplit,17.0,0.7894,0.8059,0.0164
7,BA2_96_2_B10_nosplit,20.5,0.7894,0.7947,0.0053
8,BA2_96_2_B10_nosplit,24.0,0.7894,0.7922,0.0028
9,BA2_96_2_B10_nosplit,28.0,0.7894,0.7552,0.0343
10,BA2_96_2_B10_nosplit,30.0,0.7894,0.2251,0.5643
,BA2_96_2_B10_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.7894,0.8137,0.0243
0,BA2_96_2_C2_nosplit,3.0,0.0945,0.0957,0.0012
1,BA2_96_2_C2_nosplit,6.0,0.0945,0.1024,0.0079
2,BA2_96_2_C2_nosplit,8.0,0.0945,0.1029,0.0084
3,BA2_96_2_C2_nosplit,10.0,0.0945,0.1027,0.0082
4,BA2_96_2_C2_nosplit,13.0,0.0945,0.1031,0.0086
5,BA2_96_2_C2_nosplit,15.0,0.0945,0.1013,0.0069
6,BA2_96_2_C2_nosplit,17.0,0.0945,0.1045,0.01
7,BA2_96_2_C2_nosplit,20.5,0.0945,0.1104,0.0159
8,BA2_96_2_C2_nosplit,24.0,0.0945,0.1078,0.0134
9,BA2_96_2_C2_nosplit,28.0,0.0945,0.1116,0.0171
10,BA2_96_2_C2_nosplit,30.0,0.0945,0.1572,0.0627
,BA2_96_2_C2_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.0945,0.1905,0.096
0,BA2_96_2_E8_nosplit,3.0,0.9346,0.9349,0.0004
1,BA2_96_2_E8_nosplit,6.0,0.9346,0.9364,0.0018
2,BA2_96_2_E8_nosplit,8.0,0.9346,0.9392,0.0046
3,BA2_96_2_E8_nosplit,10.0,0.9346,0.9376,0.003
4,BA2_96_2_E8_nosplit,13.0,0.9346,0.9397,0.0052
5,BA2_96_2_E8_nosplit,15.0,0.9346,0.9364,0.0019
6,BA2_96_2_E8_nosplit,17.0,0.9346,0.9375,0.0029
7,BA2_96_2_E8_nosplit,20.5,0.9346,0.935,0.0004
8,BA2_96_2_E8_nosplit,24.0,0.9346,0.9303,0.0043
9,BA2_96_2_E8_nosplit,28.0,0.9346,0.9135,0.0211
10,BA2_96_2_E8_nosplit,30.0,0.9346,0.2658,0.6687
,BA2_96_2_E8_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.9346,0.9245,0.0101
0,BA2_96_2_F11_nosplit,3.0,0.8261,0.8289,0.0028
1,BA2_96_2_F11_nosplit,6.0,0.8261,0.8299,0.0037
2,BA2_96_2_F11_nosplit,8.0,0.8261,0.8346,0.0084
3,BA2_96_2_F11_nosplit,10.0,0.8261,0.8378,0.0117
4,BA2_96_2_F11_nosplit,13.0,0.8261,0.8373,0.0111
5,BA2_96_2_F11_nosplit,15.0,0.8261,0.835,0.0089
6,BA2_96_2_F11_nosplit,17.0,0.8261,0.8339,0.0077
7,BA2_96_2_F11_nosplit,20.5,0.8261,0.8346,0.0085
8,BA2_96_2_F11_nosplit,24.0,0.8261,0.8268,0.0007
9,BA2_96_2_F11_nosplit,28.0,0.8261,0.7829,0.0432
10,BA2_96_2_F11_nosplit,30.0,0.8261,0.2463,0.5799
,BA2_96_2_F11_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.8261,0.818,0.0081
0,BA2_96_2_F12_nosplit,3.0,0.0658,0.0662,0.0004
1,BA2_96_2_F12_nosplit,6.0,0.0658,0.0697,0.0039
2,BA2_96_2_F12_nosplit,8.0,0.0658,0.069,0.0032
3,BA2_96_2_F12_nosplit,10.0,0.0658,0.0719,0.0061
4,BA2_96_2_F12_nosplit,13.0,0.0658,0.0715,0.0057
5,BA2_96_2_F12_nosplit,15.0,0.0658,0.0701,0.0043
6,BA2_96_2_F12_nosplit,17.0,0.0658,0.073,0.0072
7,BA2_96_2_F12_nosplit,20.5,0.0658,0.0728,0.007
8,BA2_96_2_F12_nosplit,24.0,0.0658,0.0739,0.0081
9,BA2_96_2_F12_nosplit,28.0,0.0658,0.071,0.0052
10,BA2_96_2_F12_nosplit,30.0,0.0658,0.1798,0.114
,BA2_96_2_F12_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.0658,0.1084,0.0426
0,BA2_96_2_G1_nosplit,3.0,0.8566,0.8574,0.0008
1,BA2_96_2_G1_nosplit,6.0,0.8566,0.8587,0.002
2,BA2_96_2_G1_nosplit,8.0,0.8566,0.864,0.0074
3,BA2_96_2_G1_nosplit,10.0,0.8566,0.8653,0.0087
4,BA2_96_2_G1_nosplit,13.0,0.8566,0.8663,0.0097
5,BA2_96_2_G1_nosplit,15.0,0.8566,0.8697,0.0131
6,BA2_96_2_G1_nosplit,17.0,0.8566,0.8649,0.0083
7,BA2_96_2_G1_nosplit,20.5,0.8566,0.8537,0.0029
8,BA2_96_2_G1_nosplit,24.0,0.8566,0.8404,0.0162
9,BA2_96_2_G1_nosplit,28.0,0.8566,0.8064,0.0502
10,BA2_96_2_G1_nosplit,30.0,0.8566,0.2619,0.5948
,BA2_96_2_G1_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.8566,0.8287,0.028
0,BA2_96_2_G3_nosplit,3.0,0.8125,0.8158,0.0033
1,BA2_96_2_G3_nosplit,6.0,0.8125,0.8181,0.0056
2,BA2_96_2_G3_nosplit,8.0,0.8125,0.8206,0.0081
