position,organoid_id,day,prob_full,prob_occluded,importance
6,BA2_96_1_C8_nosplit,17.0,0.4641,0.4052,0.0589
7,BA2_96_1_C8_nosplit,20.5,0.4641,0.3336,0.1305
8,BA2_96_1_C8_nosplit,24.0,0.4641,0.3299,0.1342
9,BA2_96_1_C8_nosplit,28.0,0.4641,0.3188,0.1453
10,BA2_96_1_C8_nosplit,30.0,0.4641,0.2674,0.1967
0,BA2_96_1_D9_nosplit,3.0,0.2866,0.2619,0.0247
1,BA2_96_1_D9_nosplit,6.0,0.2866,0.2914,0.0048
2,BA2_96_1_D9_nosplit,8.0,0.2866,0.2707,0.0159
3,BA2_96_1_D9_nosplit,10.0,0.2866,0.2643,0.0223
4,BA2_96_1_D9_nosplit,13.0,0.2866,0.2621,0.0245
5,BA2_96_1_D9_nosplit,15.0,0.2866,0.2765,0.0101
6,BA2_96_1_D9_nosplit,17.0,0.2866,0.261,0.0256
7,BA2_96_1_D9_nosplit,20.5,0.2866,0.2446,0.042
8,BA2_96_1_D9_nosplit,24.0,0.2866,0.2231,0.0635
9,BA2_96_1_D9_nosplit,28.0,0.2866,0.2081,0.0785
10,BA2_96_1_D9_nosplit,30.0,0.2866,0.1502,0.1364
0,BA2_96_1_E12_nosplit,3.0,0.1558,0.1455,0.0103
1,BA2_96_1_E12_nosplit,6.0,0.1558,0.1541,0.0017
2,BA2_96_1_E12_nosplit,8.0,0.1558,0.1843,0.0285
3,BA2_96_1_E12_nosplit,10.0,0.1558,0.1352,0.0206
4,BA2_96_1_E12_nosplit,13.0,0.1558,0.1429,0.013
5,BA2_96_1_E12_nosplit,15.0,0.1558,0.1635,0.0077
6,BA2_96_1_E12_nosplit,17.0,0.1558,0.1191,0.0368
7,BA2_96_1_E12_nosplit,20.5,0.1558,0.1332,0.0226
8,BA2_96_1_E12_nosplit,24.0,0.1558,0.1637,0.0079
9,BA2_96_1_E12_nosplit,28.0,0.1558,0.1265,0.0293
10,BA2_96_1_E12_nosplit,30.0,0.1558,0.1475,0.0083
0,BA2_96_1_E3_nosplit,3.0,0.0952,0.085,0.0102
1,BA2_96_1_E3_nosplit,6.0,0.0952,0.104,0.0088
2,BA2_96_1_E3_nosplit,8.0,0.0952,0.1086,0.0134
3,BA2_96_1_E3_nosplit,10.0,0.0952,0.0803,0.0149
4,BA2_96_1_E3_nosplit,13.0,0.0952,0.0791,0.0161
5,BA2_96_1_E3_nosplit,15.0,0.0952,0.0981,0.0029
6,BA2_96_1_E3_nosplit,17.0,0.0952,0.0831,0.0121
7,BA2_96_1_E3_nosplit,20.5,0.0952,0.0984,0.0032
8,BA2_96_1_E3_nosplit,24.0,0.0952,0.0956,0.0004
9,BA2_96_1_E3_nosplit,28.0,0.0952,0.0784,0.0168
10,BA2_96_1_E3_nosplit,30.0,0.0952,0.1106,0.0154
0,BA2_96_1_E5_nosplit,3.0,0.5993,0.5786,0.0207
1,BA2_96_1_E5_nosplit,6.0,0.5993,0.5829,0.0164
2,BA2_96_1_E5_nosplit,8.0,0.5993,0.6003,0.001
3,BA2_96_1_E5_nosplit,10.0,0.5993,0.619,0.0198
4,BA2_96_1_E5_nosplit,13.0,0.5993,0.588,0.0112
5,BA2_96_1_E5_nosplit,15.0,0.5993,0.5444,0.0549
6,BA2_96_1_E5_nosplit,17.0,0.5993,0.5282,0.0711
7,BA2_96_1_E5_nosplit,20.5,0.5993,0.5492,0.0501
8,BA2_96_1_E5_nosplit,24.0,0.5993,0.4907,0.1086
9,BA2_96_1_E5_nosplit,28.0,0.5993,0.3773,0.222
10,BA2_96_1_E5_nosplit,30.0,0.5993,0.3905,0.2088
0,BA2_96_1_G7_nosplit,3.0,0.2719,0.2385,0.0334
1,BA2_96_1_G7_nosplit,6.0,0.2719,0.2564,0.0154
2,BA2_96_1_G7_nosplit,8.0,0.2719,0.2751,0.0032
3,BA2_96_1_G7_nosplit,10.0,0.2719,0.3022,0.0304
4,BA2_96_1_G7_nosplit,13.0,0.2719,0.2609,0.0109
