organoid_id,day,prob_full,prob_occluded,importance
BA2_96_2_B10_nosplit,24.0,0.7889,0.7916,0.0027
BA2_96_2_B10_nosplit,28.0,0.7889,0.7545,0.0344
BA2_96_2_B10_nosplit,30.0,0.7889,0.2248,0.5641
BA2_96_2_C2_nosplit,3.0,0.0944,0.0957,0.0012
BA2_96_2_C2_nosplit,6.0,0.0944,0.1023,0.0079
BA2_96_2_C2_nosplit,8.0,0.0944,0.1028,0.0083
BA2_96_2_C2_nosplit,10.0,0.0944,0.1026,0.0082
BA2_96_2_C2_nosplit,13.0,0.0944,0.103,0.0086
BA2_96_2_C2_nosplit,15.0,0.0944,0.1012,0.0068
BA2_96_2_C2_nosplit,17.0,0.0944,0.1044,0.0099
BA2_96_2_C2_nosplit,20.5,0.0944,0.1102,0.0158
BA2_96_2_C2_nosplit,24.0,0.0944,0.1078,0.0133
BA2_96_2_C2_nosplit,28.0,0.0944,0.1115,0.017
BA2_96_2_C2_nosplit,30.0,0.0944,0.1569,0.0625
BA2_96_2_E8_nosplit,3.0,0.9341,0.9344,0.0004
BA2_96_2_E8_nosplit,6.0,0.9341,0.9359,0.0018
BA2_96_2_E8_nosplit,8.0,0.9341,0.9388,0.0047
BA2_96_2_E8_nosplit,10.0,0.9341,0.9371,0.003
BA2_96_2_E8_nosplit,13.0,0.9341,0.9394,0.0053
BA2_96_2_E8_nosplit,15.0,0.9341,0.936,0.0019
BA2_96_2_E8_nosplit,17.0,0.9341,0.937,0.0029
BA2_96_2_E8_nosplit,20.5,0.9341,0.9345,0.0004
BA2_96_2_E8_nosplit,24.0,0.9341,0.9297,0.0044
BA2_96_2_E8_nosplit,28.0,0.9341,0.9129,0.0212
BA2_96_2_E8_nosplit,30.0,0.9341,0.2653,0.6687
BA2_96_2_F11_nosplit,3.0,0.8263,0.8291,0.0028
BA2_96_2_F11_nosplit,6.0,0.8263,0.8301,0.0038
BA2_96_2_F11_nosplit,8.0,0.8263,0.8347,0.0084
BA2_96_2_F11_nosplit,10.0,0.8263,0.838,0.0117
BA2_96_2_F11_nosplit,13.0,0.8263,0.8374,0.0111
BA2_96_2_F11_nosplit,15.0,0.8263,0.8352,0.0089
BA2_96_2_F11_nosplit,17.0,0.8263,0.834,0.0076
BA2_96_2_F11_nosplit,20.5,0.8263,0.8347,0.0084
BA2_96_2_F11_nosplit,24.0,0.8263,0.8269,0.0006
BA2_96_2_F11_nosplit,28.0,0.8263,0.7827,0.0436
BA2_96_2_F11_nosplit,30.0,0.8263,0.2456,0.5807
BA2_96_2_F12_nosplit,3.0,0.0659,0.0663,0.0004
BA2_96_2_F12_nosplit,6.0,0.0659,0.0698,0.0039
BA2_96_2_F12_nosplit,8.0,0.0659,0.0691,0.0032
BA2_96_2_F12_nosplit,10.0,0.0659,0.072,0.0061
BA2_96_2_F12_nosplit,13.0,0.0659,0.0716,0.0057
BA2_96_2_F12_nosplit,15.0,0.0659,0.0703,0.0043
BA2_96_2_F12_nosplit,17.0,0.0659,0.0731,0.0072
BA2_96_2_F12_nosplit,20.5,0.0659,0.073,0.007
BA2_96_2_F12_nosplit,24.0,0.0659,0.074,0.008
BA2_96_2_F12_nosplit,28.0,0.0659,0.0711,0.0052
BA2_96_2_F12_nosplit,30.0,0.0659,0.1798,0.1138
BA2_96_2_G1_nosplit,3.0,0.8562,0.8569,0.0008
BA2_96_2_G1_nosplit,6.0,0.8562,0.8582,0.002
BA2_96_2_G1_nosplit,8.0,0.8562,0.8636,0.0074
BA2_96_2_G1_nosplit,10.0,0.8562,0.8649,0.0087
BA2_96_2_G1_nosplit,13.0,0.8562,0.8659,0.0097
BA2_96_2_G1_nosplit,15.0,0.8562,0.8693,0.0131
BA2_96_2_G1_nosplit,17.0,0.8562,0.8644,0.0083
BA2_96_2_G1_nosplit,20.5,0.8562,0.8533,0.0029
BA2_96_2_G1_nosplit,24.0,0.8562,0.8399,0.0163
BA2_96_2_G1_nosplit,28.0,0.8562,0.8057,0.0504
BA2_96_2_G1_nosplit,30.0,0.8562,0.2615,0.5946
BA2_96_2_G3_nosplit,3.0,0.813,0.8162,0.0032
BA2_96_2_G3_nosplit,6.0,0.813,0.8185,0.0056
BA2_96_2_G3_nosplit,8.0,0.813,0.8211,0.0081
BA2_96_2_G3_nosplit,10.0,0.813,0.8229,0.01
BA2_96_2_G3_nosplit,13.0,0.813,0.8207,0.0077
BA2_96_2_G3_nosplit,15.0,0.813,0.8213,0.0083
BA2_96_2_G3_nosplit,17.0,0.813,0.82,0.0071
BA2_96_2_G3_nosplit,20.5,0.813,0.8041,0.0089
BA2_96_2_G3_nosplit,24.0,0.813,0.8018,0.0111
BA2_96_2_G3_nosplit,28.0,0.813,0.7786,0.0344
BA2_96_2_G3_nosplit,30.0,0.813,0.2549,0.558
BA2_96_2_G6_nosplit,3.0,0.3368,0.3478,0.011
BA2_96_2_G6_nosplit,6.0,0.3368,0.3539,0.0172
BA2_96_2_G6_nosplit,8.0,0.3368,0.3543,0.0175
BA2_96_2_G6_nosplit,10.0,0.3368,0.3561,0.0193
BA2_96_2_G6_nosplit,13.0,0.3368,0.362,0.0252
BA2_96_2_G6_nosplit,15.0,0.3368,0.3547,0.0179
BA2_96_2_G6_nosplit,17.0,0.3368,0.3488,0.012
BA2_96_2_G6_nosplit,20.5,0.3368,0.3327,0.0041
BA2_96_2_G6_nosplit,24.0,0.3368,0.3617,0.0249
BA2_96_2_G6_nosplit,28.0,0.3368,0.3136,0.0231
BA2_96_2_G6_nosplit,30.0,0.3368,0.2034,0.1334
BA2_96_2_G9_nosplit,3.0,0.0367,0.0382,0.0014
BA2_96_2_G9_nosplit,6.0,0.0367,0.0398,0.0031
BA2_96_2_G9_nosplit,8.0,0.0367,0.0401,0.0033
BA2_96_2_G9_nosplit,10.0,0.0367,0.0427,0.0059
BA2_96_2_G9_nosplit,13.0,0.0367,0.0426,0.0059
BA2_96_2_G9_nosplit,15.0,0.0367,0.0409,0.0042
BA2_96_2_G9_nosplit,17.0,0.0367,0.0439,0.0072
BA2_96_2_G9_nosplit,20.5,0.0367,0.0442,0.0075
BA2_96_2_G9_nosplit,24.0,0.0367,0.0442,0.0075
BA2_96_2_G9_nosplit,28.0,0.0367,0.0437,0.0069
BA2_96_2_G9_nosplit,30.0,0.0367,0.1423,0.1056
BA2_96_2_H3_nosplit,3.0,0.2781,0.2925,0.0144
BA2_96_2_H3_nosplit,6.0,0.2781,0.2942,0.0161
BA2_96_2_H3_nosplit,8.0,0.2781,0.2961,0.018
BA2_96_2_H3_nosplit,10.0,0.2781,0.3027,0.0246
BA2_96_2_H3_nosplit,13.0,0.2781,0.297,0.0189
BA2_96_2_H3_nosplit,15.0,0.2781,0.3066,0.0285
BA2_96_2_H3_nosplit,17.0,0.2781,0.3148,0.0366
BA2_96_2_H3_nosplit,20.5,0.2781,0.2848,0.0067
BA2_96_2_H3_nosplit,24.0,0.2781,0.2903,0.0122
BA2_96_2_H3_nosplit,28.0,0.2781,0.2854,0.0073
BA2_96_2_H3_nosplit,30.0,0.2781,0.1832,0.0949
BA2_96_2_H8_nosplit,3.0,0.8128,0.8162,0.0034
BA2_96_2_H8_nosplit,6.0,0.8128,0.8154,0.0025
BA2_96_2_H8_nosplit,8.0,0.8128,0.8188,0.0059
BA2_96_2_H8_nosplit,10.0,0.8128,0.8236,0.0107
BA2_96_2_H8_nosplit,13.0,0.8128,0.8236,0.0108
BA2_96_2_H8_nosplit,15.0,0.8128,0.8269,0.0141
BA2_96_2_H8_nosplit,17.0,0.8128,0.8156,0.0027
BA2_96_2_H8_nosplit,20.5,0.8128,0.8078,0.0051
BA2_96_2_H8_nosplit,24.0,0.8128,0.7978,0.0151
BA2_96_2_H8_nosplit,28.0,0.8128,0.7767,0.0362
BA2_96_2_H8_nosplit,30.0,0.8128,0.2801,0.5328
