position,organoid_id,day,prob_full,prob_occluded,importance
4,BA2_96_1_E3_nosplit,17.0,0.0013,0.0015,0.0001
5,BA2_96_1_E3_nosplit,15.0,0.0013,0.0016,0.0003
6,BA2_96_1_E3_nosplit,13.0,0.0013,0.0016,0.0002
7,BA2_96_1_E3_nosplit,10.0,0.0013,0.0018,0.0005
8,BA2_96_1_E3_nosplit,8.0,0.0013,0.0019,0.0006
9,BA2_96_1_E3_nosplit,6.0,0.0013,0.0032,0.0018
10,BA2_96_1_E3_nosplit,3.0,0.0013,0.0631,0.0618
0,BA2_96_1_E5_nosplit,30.0,0.0026,0.0025,0.0001
1,BA2_96_1_E5_nosplit,28.0,0.0026,0.0025,0.0001
2,BA2_96_1_E5_nosplit,24.0,0.0026,0.0026,0.0
3,BA2_96_1_E5_nosplit,20.5,0.0026,0.0026,0.0
4,BA2_96_1_E5_nosplit,17.0,0.0026,0.0027,0.0001
5,BA2_96_1_E5_nosplit,15.0,0.0026,0.0029,0.0003
6,BA2_96_1_E5_nosplit,13.0,0.0026,0.0031,0.0005
7,BA2_96_1_E5_nosplit,10.0,0.0026,0.0035,0.0009
8,BA2_96_1_E5_nosplit,8.0,0.0026,0.0039,0.0013
9,BA2_96_1_E5_nosplit,6.0,0.0026,0.0054,0.0027
10,BA2_96_1_E5_nosplit,3.0,0.0026,0.077,0.0744
0,BA2_96_1_G7_nosplit,30.0,0.0011,0.0011,0.0
1,BA2_96_1_G7_nosplit,28.0,0.0011,0.0011,0.0
2,BA2_96_1_G7_nosplit,24.0,0.0011,0.0011,0.0
3,BA2_96_1_G7_nosplit,20.5,0.0011,0.0011,0.0
4,BA2_96_1_G7_nosplit,17.0,0.0011,0.0012,0.0001
5,BA2_96_1_G7_nosplit,15.0,0.0011,0.0013,0.0002
6,BA2_96_1_G7_nosplit,13.0,0.0011,0.0014,0.0003
7,BA2_96_1_G7_nosplit,10.0,0.0011,0.0014,0.0004
8,BA2_96_1_G7_nosplit,8.0,0.0011,0.0015,0.0004
9,BA2_96_1_G7_nosplit,6.0,0.0011,0.0022,0.0011
10,BA2_96_1_G7_nosplit,3.0,0.0011,0.0747,0.0737
0,BA2_96_1_H11_nosplit,30.0,0.0032,0.0031,0.0001
1,BA2_96_1_H11_nosplit,28.0,0.0032,0.0031,0.0001
2,BA2_96_1_H11_nosplit,24.0,0.0032,0.0032,0.0
3,BA2_96_1_H11_nosplit,20.5,0.0032,0.0033,0.0001
4,BA2_96_1_H11_nosplit,17.0,0.0032,0.0034,0.0002
5,BA2_96_1_H11_nosplit,15.0,0.0032,0.0034,0.0003
6,BA2_96_1_H11_nosplit,13.0,0.0032,0.0037,0.0005
7,BA2_96_1_H11_nosplit,10.0,0.0032,0.004,0.0008
8,BA2_96_1_H11_nosplit,8.0,0.0032,0.0048,0.0016
9,BA2_96_1_H11_nosplit,6.0,0.0032,0.0057,0.0025
10,BA2_96_1_H11_nosplit,3.0,0.0032,0.0846,0.0814
0,BA2_96_2_B10_nosplit,30.0,0.0017,0.0016,0.0
1,BA2_96_2_B10_nosplit,28.0,0.0017,0.0016,0.0
2,BA2_96_2_B10_nosplit,24.0,0.0017,0.0016,0.0
3,BA2_96_2_B10_nosplit,20.5,0.0017,0.0016,0.0
4,BA2_96_2_B10_nosplit,17.0,0.0017,0.0018,0.0001
5,BA2_96_2_B10_nosplit,15.0,0.0017,0.0019,0.0003
6,BA2_96_2_B10_nosplit,13.0,0.0017,0.0021,0.0004
7,BA2_96_2_B10_nosplit,10.0,0.0017,0.0023,0.0007
8,BA2_96_2_B10_nosplit,8.0,0.0017,0.0025,0.0008
9,BA2_96_2_B10_nosplit,6.0,0.0017,0.0035,0.0019
10,BA2_96_2_B10_nosplit,3.0,0.0017,0.0664,0.0647
0,BA2_96_2_C2_nosplit,30.0,0.0023,0.0024,0.0001
1,BA2_96_2_C2_nosplit,28.0,0.0023,0.0024,0.0001
2,BA2_96_2_C2_nosplit,24.0,0.0023,0.0024,0.0001
3,BA2_96_2_C2_nosplit,20.5,0.0023,0.0025,0.0002
4,BA2_96_2_C2_nosplit,17.0,0.0023,0.0025,0.0002
5,BA2_96_2_C2_nosplit,15.0,0.0023,0.0025,0.0002
6,BA2_96_2_C2_nosplit,13.0,0.0023,0.0028,0.0005
7,BA2_96_2_C2_nosplit,10.0,0.0023,0.003,0.0007
8,BA2_96_2_C2_nosplit,8.0,0.0023,0.0036,0.0013
9,BA2_96_2_C2_nosplit,6.0,0.0023,0.0052,0.0029
10,BA2_96_2_C2_nosplit,3.0,0.0023,0.0651,0.0628
0,BA2_96_2_E8_nosplit,30.0,0.0017,0.0017,0.0001
1,BA2_96_2_E8_nosplit,28.0,0.0017,0.0017,0.0
2,BA2_96_2_E8_nosplit,24.0,0.0017,0.0017,0.0
3,BA2_96_2_E8_nosplit,20.5,0.0017,0.0018,0.0
4,BA2_96_2_E8_nosplit,17.0,0.0017,0.0018,0.0001
5,BA2_96_2_E8_nosplit,15.0,0.0017,0.0018,0.0001
6,BA2_96_2_E8_nosplit,13.0,0.0017,0.0022,0.0004
7,BA2_96_2_E8_nosplit,10.0,0.0017,0.0023,0.0006
8,BA2_96_2_E8_nosplit,8.0,0.0017,0.0029,0.0012
9,BA2_96_2_E8_nosplit,6.0,0.0017,0.0037,0.002
10,BA2_96_2_E8_nosplit,3.0,0.0017,0.0739,0.0721
0,BA2_96_2_F11_nosplit,30.0,0.0022,0.0022,0.0
1,BA2_96_2_F11_nosplit,28.0,0.0022,0.0021,0.0001
2,BA2_96_2_F11_nosplit,24.0,0.0022,0.0023,0.0001
3,BA2_96_2_F11_nosplit,20.5,0.0022,0.0023,0.0001
4,BA2_96_2_F11_nosplit,17.0,0.0022,0.0024,0.0002
5,BA2_96_2_F11_nosplit,15.0,0.0022,0.0025,0.0003
6,BA2_96_2_F11_nosplit,13.0,0.0022,0.0028,0.0005
7,BA2_96_2_F11_nosplit,10.0,0.0022,0.0031,0.0008
8,BA2_96_2_F11_nosplit,8.0,0.0022,0.0036,0.0014
9,BA2_96_2_F11_nosplit,6.0,0.0022,0.0045,0.0023
10,BA2_96_2_F11_nosplit,3.0,0.0022,0.0701,0.0679
0,BA2_96_2_F12_nosplit,30.0,0.0024,0.0025,0.0001
1,BA2_96_2_F12_nosplit,28.0,0.0024,0.0025,0.0001
2,BA2_96_2_F12_nosplit,24.0,0.0024,0.0026,0.0002
3,BA2_96_2_F12_nosplit,20.5,0.0024,0.0026,0.0002
4,BA2_96_2_F12_nosplit,17.0,0.0024,0.0026,0.0002
5,BA2_96_2_F12_nosplit,15.0,0.0024,0.0027,0.0003
6,BA2_96_2_F12_nosplit,13.0,0.0024,0.0028,0.0004
7,BA2_96_2_F12_nosplit,10.0,0.0024,0.0031,0.0008
8,BA2_96_2_F12_nosplit,8.0,0.0024,0.0033,0.0009
9,BA2_96_2_F12_nosplit,6.0,0.0024,0.0046,0.0022
10,BA2_96_2_F12_nosplit,3.0,0.0024,0.0722,0.0698
0,BA2_96_2_G1_nosplit,30.0,0.0009,0.0009,0.0
1,BA2_96_2_G1_nosplit,28.0,0.0009,0.0009,0.0
2,BA2_96_2_G1_nosplit,24.0,0.0009,0.0009,0.0
3,BA2_96_2_G1_nosplit,20.5,0.0009,0.0009,0.0
4,BA2_96_2_G1_nosplit,17.0,0.0009,0.001,0.0001
5,BA2_96_2_G1_nosplit,15.0,0.0009,0.0011,0.0002
6,BA2_96_2_G1_nosplit,13.0,0.0009,0.0011,0.0002
7,BA2_96_2_G1_nosplit,10.0,0.0009,0.0013,0.0004
8,BA2_96_2_G1_nosplit,8.0,0.0009,0.0015,0.0006
9,BA2_96_2_G1_nosplit,6.0,0.0009,0.0019,0.001
10,BA2_96_2_G1_nosplit,3.0,0.0009,0.0739,0.073
0,BA2_96_2_G3_nosplit,30.0,0.0027,0.0026,0.0001
1,BA2_96_2_G3_nosplit,28.0,0.0027,0.0026,0.0001
2,BA2_96_2_G3_nosplit,24.0,0.0027,0.0026,0.0
3,BA2_96_2_G3_nosplit,20.5,0.0027,0.0026,0.0001
4,BA2_96_2_G3_nosplit,17.0,0.0027,0.0028,0.0002
5,BA2_96_2_G3_nosplit,15.0,0.0027,0.003,0.0004
6,BA2_96_2_G3_nosplit,13.0,0.0027,0.0032,0.0005
7,BA2_96_2_G3_nosplit,10.0,0.0027,0.0037,0.001
8,BA2_96_2_G3_nosplit,8.0,0.0027,0.0041,0.0014
9,BA2_96_2_G3_nosplit,6.0,0.0027,0.0054,0.0028
10,BA2_96_2_G3_nosplit,3.0,0.0027,0.0786,0.0759
0,BA2_96_2_G6_nosplit,30.0,0.0014,0.0014,0.0
1,BA2_96_2_G6_nosplit,28.0,0.0014,0.0014,0.0
2,BA2_96_2_G6_nosplit,24.0,0.0014,0.0015,0.0001
3,BA2_96_2_G6_nosplit,20.5,0.0014,0.0014,0.0
4,BA2_96_2_G6_nosplit,17.0,0.0014,0.0015,0.0001
5,BA2_96_2_G6_nosplit,15.0,0.0014,0.0015,0.0001
6,BA2_96_2_G6_nosplit,13.0,0.0014,0.0017,0.0003
7,BA2_96_2_G6_nosplit,10.0,0.0014,0.0019,0.0004
8,BA2_96_2_G6_nosplit,8.0,0.0014,0.0021,0.0007
9,BA2_96_2_G6_nosplit,6.0,0.0014,0.0031,0.0017
10,BA2_96_2_G6_nosplit,3.0,0.0014,0.0752,0.0738
0,BA2_96_2_G9_nosplit,30.0,0.0026,0.0027,0.0001
1,BA2_96_2_G9_nosplit,28.0,0.0026,0.0026,0.0001
2,BA2_96_2_G9_nosplit,24.0,0.0026,0.0027,0.0002
3,BA2_96_2_G9_nosplit,20.5,0.0026,0.0027,0.0002
4,BA2_96_2_G9_nosplit,17.0,0.0026,0.0028,0.0003
5,BA2_96_2_G9_nosplit,15.0,0.0026,0.0029,0.0003
6,BA2_96_2_G9_nosplit,13.0,0.0026,0.0032,0.0006
7,BA2_96_2_G9_nosplit,10.0,0.0026,0.0035,0.0009
8,BA2_96_2_G9_nosplit,8.0,0.0026,0.0038,0.0013
9,BA2_96_2_G9_nosplit,6.0,0.0026,0.0054,0.0028
10,BA2_96_2_G9_nosplit,3.0,0.0026,0.062,0.0594
0,BA2_96_2_H3_nosplit,30.0,0.0019,0.0019,0.0
1,BA2_96_2_H3_nosplit,28.0,0.0019,0.0019,0.0
